No lead day provided. Using default hyperparameters - LR: 0.0001, BS: 32, DROPOUT: 0.1, UNET_TYPE: unet-l
Running DL_TRAIN.py for day03 with dropout=0, lr=0.00001, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.00001, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.00001, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.00001, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.0001, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.0001, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.0001, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.0001, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.001, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.001, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.001, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.001, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.01, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.01, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.01, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0, lr=0.01, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.00001, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.00001, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.00001, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.00001, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.0001, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.0001, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.0001, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.0001, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.001, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.001, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.001, bs=4, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.001, bs=2, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.01, bs=16, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.01, bs=8, unet_type=unet-s ...
Running DL_TRAIN.py for day03 with dropout=0.1, lr=0.01, bs=4, unet_type=unet-s ...
